iteration,half_span,root_chord,rect_span,rect_frac,taper_ratio,alpha,CL,CD,L_D,Lift,area,AR
0,1.0,0.25,0.85,0.85,0.4,3.0,0.5650771099726725,0.020613827408004496,27.412527464610914,202.45256010896705,0.4775,8.37696335078534
1,0.7750085836645207,0.22218725168695244,0.5558791094073054,0.7172554228740384,0.4,3.1583892197392385,0.6314427020472058,0.024408545639215268,25.869738876728363,149.32643440387113,0.3151813890871443,7.622763596458626
2,0.764528464555045,0.22185135020775115,0.5462875044819946,0.7145417467221884,0.4,3.1590705276551017,0.6322954915549042,0.024632858531632166,25.668782644245084,147.1520836731737,0.3101731132698858,7.537774850347008
3,0.7752927622371137,0.20745852080133104,0.525138801119761,0.6773425816648521,0.4,3.225912386850636,0.6748662885405561,0.025128997191555827,26.856077200220845,147.12015761227383,0.2905442368357795,8.275213079060228
4,0.8081043973617174,0.14449725828540452,0.45869373129984287,0.5676169227606938,0.4,3.3334604774515966,0.9631815270489078,0.03030095318864797,31.787169236965017,146.8821210663467,0.2032444096973237,12.852165882601264
5,0.8282899241849787,0.13101760143781746,0.42261312397914963,0.5102236688379287,0.4,3.6288693572990223,1.0586260161859287,0.03135172626178834,33.76611569475803,147.06521300295677,0.18515063753049332,14.821751794257077
6,0.8309769237431233,0.1296517623821786,0.41986693072141473,0.5052690619014188,0.4,5.978299420351343,1.068496533541519,0.031373891131315404,34.05687006018244,147.10874914970987,0.18349456424752053,15.05271070290934
7,0.8319616282149341,0.1303786145846895,0.41828467272588205,0.5027691885542344,0.4,5.655570604691519,1.0625138889350823,0.031203498401010468,34.05111424623704,147.14978503570399,0.18457923194320636,14.999740621632162
8,0.8329092719032276,0.13063861765705384,0.4167137181115521,0.5003110568805967,0.4,5.9806568663189275,1.0601122082990686,0.03108904220687928,34.09922381154896,147.14987186777628,0.18499750473694782,14.999939728026202
9,0.8330215283607675,0.13067008326479557,0.41651411719656184,0.5000040251254787,0.4,5.999732736533632,1.059829848375613,0.031076151193458836,34.10428279157989,147.14999775199806,0.18504695008619876,14.999974144707906
10,0.8330230111675532,0.13067027541348492,0.4165114997111574,0.49999999295023173,0.4,5.999999807678975,1.059827927833443,0.031076020332270745,34.10436460336814,147.14999999961327,0.18504728824113292,15.00000013467712
